"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
113,0.0140394534154382,0.00107616349738392,0.0328049309919091,0.0133453552521887,0.00105287823894424,0.0324480852893394,"scap_x_l050","scap_marg_l050",-0.000694098163249491,-2.32852584396738e-05,1.0221158131856,"B_covariate_dependent"
113,0.0130775379037143,0.00108177382399411,0.0328903302506087,0.0322899973442709,0.00188781518702488,0.0434489952360798,"ps_x_spline","ps_marg_logit",0.0192124594405566,0.000806041363030779,0.573029516569858,"B_covariate_dependent"
113,0.0140394534154382,0.00107616349738392,0.0328049309919091,0.00236197715665702,0.000910297590432587,0.030171138368192,"scap_x_l050","trad",-0.0116774762587811,-0.000165865906951328,1.18221064044837,"B_covariate_dependent"
113,0.00157628953618078,0.000971616697564347,0.0311707667144128,0.00227668855418984,0.0009099349936597,0.030165128769155,"ipcw_x","ipcw_marg",0.00070039901800906,-6.16817039046468e-05,1.0677869345991,"B_covariate_dependent"
114,0.00705084120165218,0.000995822160731454,0.0315566500239087,0.0241932537261703,0.00150799904079735,0.0388329633275308,"ps_x_spline","ps_marg_logit",0.0171424125245181,0.000512176880065896,0.660359943070598,"B_covariate_dependent"
114,0.00829886094364605,0.000998311064094513,0.031596060895221,0.00800893427363138,0.000993746482549672,0.0315237447418557,"scap_x_l050","scap_marg_l050",-0.00028992667001467,-4.56458154484037e-06,1.00459330586321,"B_covariate_dependent"
114,0.000616456726333921,0.00109264046215049,0.0330551124964125,0.00191163939692269,0.00096987745011403,0.0311428555228006,"ipcw_x","ipcw_marg",0.00129518267058877,-0.000122763012036459,1.12657579782067,"B_covariate_dependent"
114,0.00829886094364605,0.000998311064094513,0.031596060895221,0.00182184405188051,0.00096931410448979,0.0311338096687474,"scap_x_l050","trad",-0.00647701689176554,-2.8996959604723e-05,1.02991492589493,"B_covariate_dependent"
115,0.00436684156167054,0.0010589118154885,0.0325409252402033,0.0104417778435866,0.00108380865906782,0.0329212493546011,"ps_x_spline","ps_marg_logit",0.00607493628191607,2.48968435793205e-05,0.977028377314558,"B_covariate_dependent"
115,0.0043219442374759,0.00102936696856583,0.0320837492909701,0.00537260272485831,0.00104017772386678,0.0322517863670647,"scap_x_l050","scap_marg_l050",0.00105065848738241,1.08107553009526e-05,0.989606819053224,"B_covariate_dependent"
115,0.0043219442374759,0.00102936696856583,0.0320837492909701,0.0146535647973882,0.00127055988090649,0.0356449138153888,"scap_x_l050","trad",0.0103316205599123,0.000241192912340667,0.810168008635228,"B_covariate_dependent"
115,0.0148941927043472,0.00280081154746629,0.0529226940684835,0.0147318899651406,0.00127296562922816,0.0356786438815737,"ipcw_x","ipcw_marg",-0.000162302739206522,-0.00152784591823813,2.20022558595279,"B_covariate_dependent"
116,0.0339790083039315,0.00236672237317143,0.0486489709364076,0.0229711378139632,0.001632791363034,0.0404078131434257,"ps_x_spline","ps_marg_logit",-0.0110078704899682,-0.000733931010137423,1.4494946670796,"B_covariate_dependent"
116,0.0339351026384209,0.00231930868735574,0.048159201481708,0.0346185691031105,0.00236178895123289,0.0485982402071607,"scap_x_l050","scap_marg_l050",0.000683466464689635,4.24802638771503e-05,0.982013522480502,"B_covariate_dependent"
116,0.0339351026384209,0.00231930868735574,0.048159201481708,0.0419106880919748,0.00298384034568543,0.0546245397755023,"scap_x_l050","trad",0.00797558545355396,0.000664531658329691,0.777289807314728,"B_covariate_dependent"
116,0.0336343365452698,0.00515762204624718,0.0718165861500474,0.0419714705985792,0.00298898758917238,0.0546716342281112,"ipcw_x","ipcw_marg",0.0083371340533094,-0.0021686344570748,1.72554147261457,"B_covariate_dependent"
117,0.00868832602910994,0.00155045240935001,0.0393757845553585,0.0364061806728536,0.00266266095425166,0.0516009782296001,"ps_x_spline","ps_marg_logit",0.0277178546437436,0.00111220854490165,0.582294342384932,"B_covariate_dependent"
117,0.00335917245658587,0.00304210051323096,0.05515524012486,0.00319830304692388,0.00153021513959605,0.0391179644101792,"ipcw_x","ipcw_marg",-0.000160869409661985,-0.00151188537363491,1.9880214451636,"B_covariate_dependent"
117,0.0132630097038476,0.00153747316039018,0.0392106256056975,0.0120036515489077,0.00152310739638491,0.0390270085502964,"scap_x_l050","scap_marg_l050",-0.00125935815493996,-1.43657640052767e-05,1.00943187856574,"B_covariate_dependent"
117,0.0132630097038476,0.00153747316039018,0.0392106256056975,0.00316504171401386,0.00153004606199814,0.0391158032257826,"scap_x_l050","trad",-0.0100979679898338,-7.42709839203991e-06,1.00485416653558,"B_covariate_dependent"
118,0.00712968519659446,0.00156375225041444,0.0395443074337437,0.00804979695352477,0.00146403990009942,0.0382627743387672,"ps_x_spline","ps_marg_logit",0.000920111756930312,-9.97123503150156e-05,1.06810767268586,"B_covariate_dependent"
118,0.00868594274966858,0.0015112619448716,0.03887495266713,0.0234569610388767,0.00210868102162819,0.0459203769761114,"scap_x_l050","trad",0.0147710182892081,0.000597419076756584,0.716685894818129,"B_covariate_dependent"
118,0.00435040644790298,0.00465455549599112,0.0682243028252478,0.0234867178992522,0.0021102057994426,0.0459369763855067,"ipcw_x","ipcw_marg",0.0191363114513492,-0.00254434969654851,2.20573533501831,"B_covariate_dependent"
118,0.00868594274966858,0.0015112619448716,0.03887495266713,0.010294101686118,0.00155846815738008,0.0394774385868699,"scap_x_l050","scap_marg_l050",0.00160815893644941,4.72062125084795e-05,0.969709863955233,"B_covariate_dependent"
119,0.0200216148369407,0.00714196250103695,0.084510132534726,0.013516930113293,0.00183401198153521,0.0428253660992549,"ipcw_x","ipcw_marg",-0.00650468472364762,-0.00530795051950174,3.89417439631914,"B_covariate_dependent"
119,0.000107761444326816,0.00160944445135858,0.0401178819400847,0.0208212212715524,0.0018835029964945,0.0433993432726176,"ps_x_spline","ps_marg_logit",0.0207134598272256,0.000274058545135922,0.854495296452414,"B_covariate_dependent"
119,0.00124114283880129,0.00152710147009612,0.0390781456839513,0.0134915747371019,0.00183327064749707,0.0428167099097662,"scap_x_l050","trad",0.0122504318983006,0.000306169177400948,0.832992920156686,"B_covariate_dependent"
