"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
159,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
160,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
161,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
162,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
163,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
164,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
165,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
166,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
167,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
168,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
169,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
170,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
