"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
54,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
55,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
56,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
57,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
58,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
59,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
60,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
61,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
62,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
63,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
64,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
65,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
66,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
67,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
68,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
69,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
70,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
71,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
72,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
73,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.3,0.9,192
74,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.3,0.9,192
75,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.3,0.9,192
76,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.3,0.9,192
77,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.5,0.9,192
78,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.5,0.9,192
79,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.5,0.9,192
80,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.5,0.9,192
81,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.3,0.9,192
82,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.3,0.9,192
83,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.3,0.9,192
84,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.3,0.9,192
