"scenario_id","block","mse_new","width_new","coverage_new","mse_ref","width_ref","coverage_ref","method_new","method_ref","mse_reduction","rel_mse","width_reduction"
164,"C_nonlinear_observability",0.0161669475524766,0.456889127738569,0.993333333333333,0.00367676570936711,0.226040406816202,0.933333333333333,"gscap_x_l100","scap_x_l050",-0.0124901818431095,4.39705676956486,-0.230848720922367
175,"C_nonlinear_observability",0.0119798103253693,0.383857217945183,0.97,0.00194348851869098,0.179896660763588,0.97,"gscap_x_l100","scap_x_l050",-0.0100363218066783,6.16407568666173,-0.203960557181595
176,"C_nonlinear_observability",0.0168252073233688,0.389000936721609,0.973333333333333,0.00206790532420893,0.175302660402467,0.95,"gscap_x_l100","scap_x_l050",-0.0147573019991599,8.13635282350522,-0.213698276319142
20,"A_independent",0.00341265520754984,0.294146834623129,0.99,0.00240874340315176,0.228879092601448,0.966666666666667,"gscap_x_l100","scap_x_l050",-0.00100391180439808,1.41677822680676,-0.065267742021681
32,"A_independent",0.00491847156467934,0.259509419751449,0.956666666666667,0.00256900306481917,0.190856015333547,0.946666666666667,"gscap_x_l100","scap_x_l050",-0.00234946849986017,1.91454484116217,-0.068653404417902
86,"B_covariate_dependent",0.0106736547867787,0.343248340911202,0.956666666666667,0.00313186493303005,0.225949097889073,0.946666666666667,"gscap_x_l100","scap_x_l050",-0.00754178985374865,3.40808272866737,-0.117299243022129
110,"B_covariate_dependent",0.00817214373432665,0.277163881375423,0.93,0.002373626169257,0.196030801957463,0.963333333333333,"gscap_x_l050","scap_x_l075",-0.00579851756506965,3.4428941845062,-0.08113307941796
163,"C_nonlinear_observability",0.0182365823642969,0.430800527907514,0.986666666666667,0.00332525455674296,0.235712765397015,0.96,"gscap_x_l050","scap_x_l075",-0.0149113278075539,5.48426655857571,-0.195087762510499
164,"C_nonlinear_observability",0.0147611919918014,0.432952325481696,0.993333333333333,0.00357077056315612,0.225323106048345,0.936666666666667,"gscap_x_l050","scap_x_l075",-0.0111904214286453,4.13389539616747,-0.207629219433351
175,"C_nonlinear_observability",0.00897660199984434,0.332922695964848,0.973333333333333,0.00226188057013238,0.181569119990769,0.953333333333333,"gscap_x_l050","scap_x_l075",-0.00671472142971196,3.96864543529766,-0.151353575974079
176,"C_nonlinear_observability",0.0113204849734998,0.340614899483215,0.986666666666667,0.0021884189897422,0.175841371180245,0.936666666666667,"gscap_x_l050","scap_x_l075",-0.0091320659837576,5.17290565772022,-0.16477352830297
20,"A_independent",0.00451182974665432,0.284794911277945,0.986666666666667,0.0021501508454217,0.228155748326068,0.96,"gscap_x_l050","scap_x_l075",-0.00236167890123262,2.09837823995527,-0.056639162951877
32,"A_independent",0.0035294105171594,0.237540452169798,0.966666666666667,0.00311528176078244,0.191652765023466,0.936666666666667,"gscap_x_l050","scap_x_l075",-0.00041412875637696,1.13293460694,-0.045887687146332
86,"B_covariate_dependent",0.0114086498733032,0.334205830032744,0.953333333333333,0.00290201612896236,0.22554237888942,0.943333333333333,"gscap_x_l050","scap_x_l075",-0.00850663374434084,3.93128410260851,-0.108663451143324
110,"B_covariate_dependent",0.00997849061032164,0.304560079305477,0.876666666666667,0.002373626169257,0.196030801957463,0.963333333333333,"gscap_x_l100","scap_x_l075",-0.00760486444106464,4.20390149871205,-0.108529277348014
163,"C_nonlinear_observability",0.0176524731316906,0.455060254099108,0.986666666666667,0.00332525455674296,0.235712765397015,0.96,"gscap_x_l100","scap_x_l075",-0.0143272185749476,5.30860805705683,-0.219347488702093
164,"C_nonlinear_observability",0.0161669475524766,0.456889127738569,0.993333333333333,0.00357077056315612,0.225323106048345,0.936666666666667,"gscap_x_l100","scap_x_l075",-0.0125961769893205,4.5275794864252,-0.231566021690224
175,"C_nonlinear_observability",0.0119798103253693,0.383857217945183,0.97,0.00226188057013238,0.181569119990769,0.953333333333333,"gscap_x_l100","scap_x_l075",-0.00971792975523692,5.29639384305254,-0.202288097954414
176,"C_nonlinear_observability",0.0168252073233688,0.389000936721609,0.973333333333333,0.0021884189897422,0.175841371180245,0.936666666666667,"gscap_x_l100","scap_x_l075",-0.0146367883336266,7.68829342197896,-0.213159565541364
20,"A_independent",0.00341265520754984,0.294146834623129,0.99,0.0021501508454217,0.228155748326068,0.96,"gscap_x_l100","scap_x_l075",-0.00126250436212814,1.58717013497745,-0.065991086297061
